year,survey_id,SITE,site_type,SITE_label,DATE,Activity,Coral_No,Colour_Code_Lightest,Colour_Code_Darkest,Average_Colour,Coral_Type,Type,Colour_Code_num,health
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,18,D2,D3,2.5,Boulder corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,19,D1,D2,1.5,Branching corals,Lightest_num,1,bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,19,D1,D2,1.5,Branching corals,Darkest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,20,D2,D4,3,Boulder corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,20,D2,D4,3,Boulder corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,D4,D4,4,Plate corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,1,D4,D4,4,Plate corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,2,E3,E3,3,Branching corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,2,E3,E3,3,Branching corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,3,E4,E4,4,Branching corals,Lightest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,3,E4,E4,4,Branching corals,Darkest_num,4,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,4,E2,D3,2.5,Plate corals,Lightest_num,2,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,4,E2,D3,2.5,Plate corals,Darkest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,5,D3,D3,3,Boulder corals,Lightest_num,3,not bleached
2024,Cappuccino_2024-10-30,Cappuccino,RF,Cappuccino (RF),2024-10-30,Snorkeling,5,D3,D3,3,Boulder corals,Darkest_num,3,not bleached
