"SITE","year","substrate_group","Proportion"
"Cappuccino","2022","SP",0
"Cappuccino","2023","HC",0.357
"Cappuccino","2023","HCB",0
"Cappuccino","2023","NIA",0.006
"Cappuccino","2023","NL",0.619
"Cappuccino","2023","NR",0
"Cappuccino","2023","OT",0.019
"Cappuccino","2023","RKC",0
"Cappuccino","2023","SC",0
"Cappuccino","2023","SP",0
"Cappuccino","2024","HC",0.238
"Cappuccino","2024","HCB",0.006
"Cappuccino","2024","NIA",0.019
"Cappuccino","2024","NL",0.737
"Cappuccino","2024","NR",0
"Cappuccino","2024","OT",0
"Cappuccino","2024","RKC",0
"Cappuccino","2024","SC",0
"Cappuccino","2024","SP",0
"Coral Cascade","2013","HC",0.432
"Coral Cascade","2013","HCB",0
"Coral Cascade","2013","NIA",0
"Coral Cascade","2013","NL",0.543
"Coral Cascade","2013","NR",0
"Coral Cascade","2013","OT",0.006
"Coral Cascade","2013","RKC",0
"Coral Cascade","2013","SC",0.013
"Coral Cascade","2013","SP",0.006
"Coral Cascade","2014","HC",0.494
"Coral Cascade","2014","HCB",0
"Coral Cascade","2014","NIA",0
"Coral Cascade","2014","NL",0.406
"Coral Cascade","2014","NR",0
"Coral Cascade","2014","OT",0.013
"Coral Cascade","2014","RKC",0
"Coral Cascade","2014","SC",0.081
"Coral Cascade","2014","SP",0.006
"Coral Cascade","2015","HC",0.568
"Coral Cascade","2015","HCB",0
"Coral Cascade","2015","NIA",0
"Coral Cascade","2015","NL",0.381
"Coral Cascade","2015","NR",0
"Coral Cascade","2015","OT",0.013
"Coral Cascade","2015","RKC",0.025
"Coral Cascade","2015","SC",0.013
"Coral Cascade","2015","SP",0
"Coral Cascade","2016","HC",0.605
"Coral Cascade","2016","HCB",0.019
"Coral Cascade","2016","NIA",0.006
"Coral Cascade","2016","NL",0.325
"Coral Cascade","2016","NR",0
"Coral Cascade","2016","OT",0.006
"Coral Cascade","2016","RKC",0
"Coral Cascade","2016","SC",0.038
"Coral Cascade","2016","SP",0
"Coral Cascade","2017","HC",0.45
"Coral Cascade","2017","HCB",0.1
"Coral Cascade","2017","NIA",0
"Coral Cascade","2017","NL",0.381
"Coral Cascade","2017","NR",0
"Coral Cascade","2017","OT",0.013
"Coral Cascade","2017","RKC",0.006
"Coral Cascade","2017","SC",0.05
"Coral Cascade","2017","SP",0
"Coral Cascade","2018","HC",0.531
"Coral Cascade","2018","HCB",0.013
"Coral Cascade","2018","NIA",0.006
"Coral Cascade","2018","NL",0.375
"Coral Cascade","2018","NR",0
"Coral Cascade","2018","OT",0.044
"Coral Cascade","2018","RKC",0.006
"Coral Cascade","2018","SC",0.026
"Coral Cascade","2018","SP",0
"Coral Cascade","2019","HC",0.532
"Coral Cascade","2019","HCB",0.013
"Coral Cascade","2019","NIA",0.019
"Coral Cascade","2019","NL",0.369
"Coral Cascade","2019","NR",0
"Coral Cascade","2019","OT",0.025
"Coral Cascade","2019","RKC",0.006
"Coral Cascade","2019","SC",0.038
"Coral Cascade","2019","SP",0
