SITE,SITE_label,year,site_type,HC,HCB,total_coral,method,bleach_prop
Cappuccino,Cappuccino (NF),2023,NF,0.357,0,0.357,CW,0.06666666666666667
Cappuccino,Cappuccino (NF),2024,NF,0.238,0.006,0.244,RCA,0.02459016393442623
Cappuccino,Cappuccino (NF),2024,NF,0.238,0.006,0.244,CW,0.06140350877192982
Last Resort,Last Resort (NF),2013,NF,0.095,0,0.095,RCA,0
Last Resort,Last Resort (NF),2013,NF,0.095,0,0.095,CW,NA
Last Resort,Last Resort (NF),2014,NF,0.044,0,0.044,RCA,0
Last Resort,Last Resort (NF),2014,NF,0.044,0,0.044,CW,0.0625
Last Resort,Last Resort (NF),2015,NF,0.075,0,0.075,RCA,0
Last Resort,Last Resort (NF),2015,NF,0.075,0,0.075,CW,NA
Last Resort,Last Resort (NF),2016,NF,0.206,0.006,0.212,RCA,0.02830188679245283
Last Resort,Last Resort (NF),2016,NF,0.206,0.006,0.212,CW,0.04166666666666666
Last Resort,Last Resort (NF),2017,NF,0.019,0.019,0.038,RCA,0.5
Last Resort,Last Resort (NF),2017,NF,0.019,0.019,0.038,CW,NA
Last Resort,Last Resort (NF),2018,NF,0.075,0.038,0.113,RCA,0.336283185840708
Last Resort,Last Resort (NF),2018,NF,0.075,0.038,0.113,CW,NA
Last Resort,Last Resort (NF),2019,NF,0.063,0.006,0.069,RCA,0.08695652173913043
Last Resort,Last Resort (NF),2019,NF,0.063,0.006,0.069,CW,NA
Last Resort,Last Resort (NF),2020,NF,0.032,0,0.032,RCA,0
Last Resort,Last Resort (NF),2020,NF,0.032,0,0.032,CW,NA
Last Resort,Last Resort (NF),2021,NF,0.056,0,0.056,RCA,0
Last Resort,Last Resort (NF),2021,NF,0.056,0,0.056,CW,NA
Last Resort,Last Resort (NF),2022,NF,0.038,0,0.038,RCA,0
Last Resort,Last Resort (NF),2022,NF,0.038,0,0.038,CW,NA
Last Resort,Last Resort (NF),2023,NF,0.1,0.006,0.106,RCA,0.05660377358490565
Last Resort,Last Resort (NF),2023,NF,0.1,0.006,0.106,CW,0
Last Resort,Last Resort (NF),2024,NF,0.044,0,0.044,RCA,0
Last Resort,Last Resort (NF),2024,NF,0.044,0,0.044,CW,0
White Wedding,White Wedding (NF),2014,NF,0.1,0,0.1,RCA,0
White Wedding,White Wedding (NF),2014,NF,0.1,0,0.1,CW,0.05
White Wedding,White Wedding (NF),2015,NF,0.131,0.006,0.137,RCA,0.0437956204379562
White Wedding,White Wedding (NF),2015,NF,0.131,0.006,0.137,CW,0.13157894736842105
White Wedding,White Wedding (NF),2016,NF,0.069,0,0.069,RCA,0
White Wedding,White Wedding (NF),2016,NF,0.069,0,0.069,CW,0.02564102564102564
White Wedding,White Wedding (NF),2017,NF,0.126,0.013,0.139,RCA,0.0935251798561151
White Wedding,White Wedding (NF),2017,NF,0.126,0.013,0.139,CW,0.075
White Wedding,White Wedding (NF),2018,NF,0.107,0,0.107,RCA,0
White Wedding,White Wedding (NF),2018,NF,0.107,0,0.107,CW,0
White Wedding,White Wedding (NF),2019,NF,0.032,0.006,0.038,RCA,0.15789473684210528
White Wedding,White Wedding (NF),2019,NF,0.032,0.006,0.038,CW,0.02631578947368421
White Wedding,White Wedding (NF),2020,NF,0.068,0,0.068,RCA,0
White Wedding,White Wedding (NF),2020,NF,0.068,0,0.068,CW,0.05263157894736842
White Wedding,White Wedding (NF),2021,NF,0.088,0,0.088,RCA,0
White Wedding,White Wedding (NF),2021,NF,0.088,0,0.088,CW,NA
White Wedding,White Wedding (NF),2022,NF,0.074,0,0.074,RCA,0
White Wedding,White Wedding (NF),2022,NF,0.074,0,0.074,CW,0.05
White Wedding,White Wedding (NF),2023,NF,0.119,0,0.119,RCA,0
White Wedding,White Wedding (NF),2023,NF,0.119,0,0.119,CW,0
White Wedding,White Wedding (NF),2024,NF,0.063,0.013,0.076,RCA,0.17105263157894737
White Wedding,White Wedding (NF),2024,NF,0.063,0.013,0.076,CW,0
Jetty Flat,Jetty Flat (SF),2013,SF,0.351,0,0.351,RCA,0
Jetty Flat,Jetty Flat (SF),2013,SF,0.351,0,0.351,CW,NA
Jetty Flat,Jetty Flat (SF),2014,SF,0.312,0.013,0.325,RCA,0.03999999999999999
Jetty Flat,Jetty Flat (SF),2014,SF,0.312,0.013,0.325,CW,0.05714285714285714
Jetty Flat,Jetty Flat (SF),2015,SF,0.35,0.006,0.356,RCA,0.01685393258426966
Jetty Flat,Jetty Flat (SF),2015,SF,0.35,0.006,0.356,CW,0.075
Jetty Flat,Jetty Flat (SF),2016,SF,0.437,0.031,0.468,RCA,0.06623931623931624
Jetty Flat,Jetty Flat (SF),2016,SF,0.437,0.031,0.468,CW,0.15789473684210523
Jetty Flat,Jetty Flat (SF),2017,SF,0.313,0,0.313,RCA,0
Jetty Flat,Jetty Flat (SF),2017,SF,0.313,0,0.313,CW,0.2
Jetty Flat,Jetty Flat (SF),2018,SF,0.293,0.013,0.306,RCA,0.04248366013071895
Jetty Flat,Jetty Flat (SF),2018,SF,0.293,0.013,0.306,CW,NA
Jetty Flat,Jetty Flat (SF),2019,SF,0.238,0,0.238,RCA,0
Jetty Flat,Jetty Flat (SF),2019,SF,0.238,0,0.238,CW,NA
Jetty Flat,Jetty Flat (SF),2020,SF,0.306,0.006,0.312,RCA,0.01923076923076923
Jetty Flat,Jetty Flat (SF),2020,SF,0.306,0.006,0.312,CW,NA
Jetty Flat,Jetty Flat (SF),2021,SF,0.355,0,0.355,RCA,0
Jetty Flat,Jetty Flat (SF),2021,SF,0.355,0,0.355,CW,0.03333333333333333
Jetty Flat,Jetty Flat (SF),2022,SF,0.287,0,0.287,RCA,0
Jetty Flat,Jetty Flat (SF),2022,SF,0.287,0,0.287,CW,0
Jetty Flat,Jetty Flat (SF),2023,SF,0.431,0,0.431,RCA,0
Jetty Flat,Jetty Flat (SF),2023,SF,0.431,0,0.431,CW,0
Jetty Flat,Jetty Flat (SF),2024,SF,0.244,0,0.244,RCA,0
Jetty Flat,Jetty Flat (SF),2024,SF,0.244,0,0.244,CW,0.01818181818181818
Research Zone,Research Zone (SF),2013,SF,0.056,0,0.056,RCA,0
Research Zone,Research Zone (SF),2013,SF,0.056,0,0.056,CW,0.08666666666666667
Research Zone,Research Zone (SF),2014,SF,0.088,0,0.088,RCA,0
Research Zone,Research Zone (SF),2014,SF,0.088,0,0.088,CW,0.08870967741935484
Research Zone,Research Zone (SF),2015,SF,0.094,0,0.094,RCA,0
Research Zone,Research Zone (SF),2015,SF,0.094,0,0.094,CW,0.05263157894736842
Research Zone,Research Zone (SF),2016,SF,0.069,0,0.069,RCA,0
Research Zone,Research Zone (SF),2016,SF,0.069,0,0.069,CW,0.0392156862745098
Research Zone,Research Zone (SF),2017,SF,0.087,0,0.087,RCA,0
Research Zone,Research Zone (SF),2017,SF,0.087,0,0.087,CW,0.1125
Research Zone,Research Zone (SF),2018,SF,0.068,0,0.068,RCA,0
Research Zone,Research Zone (SF),2018,SF,0.068,0,0.068,CW,NA
Research Zone,Research Zone (SF),2019,SF,0.193,0.006,0.199,RCA,0.03015075376884422
Research Zone,Research Zone (SF),2019,SF,0.193,0.006,0.199,CW,0.02439024390243902
Research Zone,Research Zone (SF),2020,SF,0.087,0,0.087,RCA,0
Research Zone,Research Zone (SF),2020,SF,0.087,0,0.087,CW,0.07901907356948229
Research Zone,Research Zone (SF),2021,SF,0.076,0,0.076,RCA,0
Research Zone,Research Zone (SF),2021,SF,0.076,0,0.076,CW,0.01777251184834123
Research Zone,Research Zone (SF),2022,SF,0.107,0,0.107,RCA,0
Research Zone,Research Zone (SF),2022,SF,0.107,0,0.107,CW,0.0871559633027523
Research Zone,Research Zone (SF),2023,SF,0.099,0,0.099,RCA,0
Research Zone,Research Zone (SF),2023,SF,0.099,0,0.099,CW,0.06415929203539823
Research Zone,Research Zone (SF),2024,SF,0.131,0.006,0.137,RCA,0.0437956204379562
Research Zone,Research Zone (SF),2024,SF,0.131,0.006,0.137,CW,0.01639344262295082
Shark Bay,Shark Bay (SF),2013,SF,0.137,0.038,0.17500000000000002,RCA,0.2171428571428571
Shark Bay,Shark Bay (SF),2013,SF,0.137,0.038,0.17500000000000002,CW,NA
Shark Bay,Shark Bay (SF),2014,SF,0.062,0,0.062,RCA,0
Shark Bay,Shark Bay (SF),2014,SF,0.062,0,0.062,CW,0.06862745098039216
Shark Bay,Shark Bay (SF),2015,SF,0.087,0,0.087,RCA,0
Shark Bay,Shark Bay (SF),2015,SF,0.087,0,0.087,CW,NA
Shark Bay,Shark Bay (SF),2016,SF,0.069,0,0.069,RCA,0
Shark Bay,Shark Bay (SF),2016,SF,0.069,0,0.069,CW,0
Shark Bay,Shark Bay (SF),2017,SF,0.1,0.05,0.15000000000000002,RCA,0.3333333333333333
Shark Bay,Shark Bay (SF),2017,SF,0.1,0.05,0.15000000000000002,CW,NA
