year,SITE,site_type,SITE_label,n_surveys,n_observations,n_bleached_obs,prop_bleach_obs
2023,Canyons,SS,Canyons (SS),2,112,1,0.008928571428571428
2024,Canyons,SS,Canyons (SS),2,120,2,0.016666666666666666
2015,Half Way,SS,Half Way (SS),1,34,0,0
2016,Half Way,SS,Half Way (SS),1,30,0,0
2017,Half Way,SS,Half Way (SS),1,32,0,0
2018,Half Way,SS,Half Way (SS),1,28,0,0
2019,Half Way,SS,Half Way (SS),1,72,1,0.013888888888888888
2021,Half Way,SS,Half Way (SS),1,38,0,0
2022,Half Way,SS,Half Way (SS),2,78,0,0
2023,Half Way,SS,Half Way (SS),2,70,1,0.014285714285714285
2024,Half Way,SS,Half Way (SS),2,132,6,0.045454545454545456
2014,Harry's Bommie,SS,Harry's Bommie (SS),1,30,0,0
2015,Harry's Bommie,SS,Harry's Bommie (SS),1,34,3,0.08823529411764706
2016,Harry's Bommie,SS,Harry's Bommie (SS),1,40,0,0
2017,Harry's Bommie,SS,Harry's Bommie (SS),1,38,0,0
2018,Harry's Bommie,SS,Harry's Bommie (SS),1,36,3,0.08333333333333333
2019,Harry's Bommie,SS,Harry's Bommie (SS),1,40,1,0.025
2021,Harry's Bommie,SS,Harry's Bommie (SS),1,34,0,0
2022,Harry's Bommie,SS,Harry's Bommie (SS),1,60,0,0
2023,Harry's Bommie,SS,Harry's Bommie (SS),2,112,1,0.008928571428571428
2024,Harry's Bommie,SS,Harry's Bommie (SS),3,216,8,0.037037037037037035
2014,Heron Bommie,SS,Heron Bommie (SS),1,34,1,0.029411764705882353
2016,Heron Bommie,SS,Heron Bommie (SS),1,38,0,0
2017,Heron Bommie,SS,Heron Bommie (SS),1,36,1,0.027777777777777776
2018,Heron Bommie,SS,Heron Bommie (SS),1,30,5,0.16666666666666666
2019,Heron Bommie,SS,Heron Bommie (SS),1,36,0,0
2022,Heron Bommie,SS,Heron Bommie (SS),2,106,5,0.04716981132075472
2023,Heron Bommie,SS,Heron Bommie (SS),2,66,2,0.030303030303030304
2024,Heron Bommie,SS,Heron Bommie (SS),2,114,7,0.06140350877192982
