"SITE","site_type","SITE_label","year","substrate_group","Proportion"
"Cappuccino","NF","Cappuccino (NF)",2023,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2023,"SP",0
"Cappuccino","NF","Cappuccino (NF)",2024,"HC",0.238
"Cappuccino","NF","Cappuccino (NF)",2024,"HCB",0.006
"Cappuccino","NF","Cappuccino (NF)",2024,"NIA",0.019
"Cappuccino","NF","Cappuccino (NF)",2024,"NL",0.737
"Cappuccino","NF","Cappuccino (NF)",2024,"NR",0
"Cappuccino","NF","Cappuccino (NF)",2024,"OT",0
"Cappuccino","NF","Cappuccino (NF)",2024,"RKC",0
"Cappuccino","NF","Cappuccino (NF)",2024,"SC",0
"Cappuccino","NF","Cappuccino (NF)",2024,"SP",0
"Last Resort","NF","Last Resort (NF)",2013,"HC",0.095
"Last Resort","NF","Last Resort (NF)",2013,"HCB",0
"Last Resort","NF","Last Resort (NF)",2013,"NIA",0.375
"Last Resort","NF","Last Resort (NF)",2013,"NL",0.531
"Last Resort","NF","Last Resort (NF)",2013,"NR",0
"Last Resort","NF","Last Resort (NF)",2013,"OT",0
"Last Resort","NF","Last Resort (NF)",2013,"RKC",0
"Last Resort","NF","Last Resort (NF)",2013,"SC",0
"Last Resort","NF","Last Resort (NF)",2013,"SP",0
"Last Resort","NF","Last Resort (NF)",2014,"HC",0.044
"Last Resort","NF","Last Resort (NF)",2014,"HCB",0
"Last Resort","NF","Last Resort (NF)",2014,"NIA",0.15
"Last Resort","NF","Last Resort (NF)",2014,"NL",0.755
"Last Resort","NF","Last Resort (NF)",2014,"NR",0
"Last Resort","NF","Last Resort (NF)",2014,"OT",0.05
"Last Resort","NF","Last Resort (NF)",2014,"RKC",0
"Last Resort","NF","Last Resort (NF)",2014,"SC",0
"Last Resort","NF","Last Resort (NF)",2014,"SP",0
"Last Resort","NF","Last Resort (NF)",2015,"HC",0.075
"Last Resort","NF","Last Resort (NF)",2015,"HCB",0
"Last Resort","NF","Last Resort (NF)",2015,"NIA",0.1
"Last Resort","NF","Last Resort (NF)",2015,"NL",0.825
"Last Resort","NF","Last Resort (NF)",2015,"NR",0
"Last Resort","NF","Last Resort (NF)",2015,"OT",0
"Last Resort","NF","Last Resort (NF)",2015,"RKC",0
"Last Resort","NF","Last Resort (NF)",2015,"SC",0
"Last Resort","NF","Last Resort (NF)",2015,"SP",0
"Last Resort","NF","Last Resort (NF)",2016,"HC",0.206
"Last Resort","NF","Last Resort (NF)",2016,"HCB",0.006
"Last Resort","NF","Last Resort (NF)",2016,"NIA",0.256
"Last Resort","NF","Last Resort (NF)",2016,"NL",0.531
"Last Resort","NF","Last Resort (NF)",2016,"NR",0
"Last Resort","NF","Last Resort (NF)",2016,"OT",0
"Last Resort","NF","Last Resort (NF)",2016,"RKC",0
"Last Resort","NF","Last Resort (NF)",2016,"SC",0
"Last Resort","NF","Last Resort (NF)",2016,"SP",0
"Last Resort","NF","Last Resort (NF)",2017,"HC",0.019
"Last Resort","NF","Last Resort (NF)",2017,"HCB",0.019
"Last Resort","NF","Last Resort (NF)",2017,"NIA",0.125
"Last Resort","NF","Last Resort (NF)",2017,"NL",0.812
"Last Resort","NF","Last Resort (NF)",2017,"NR",0
"Last Resort","NF","Last Resort (NF)",2017,"OT",0.025
"Last Resort","NF","Last Resort (NF)",2017,"RKC",0
"Last Resort","NF","Last Resort (NF)",2017,"SC",0
"Last Resort","NF","Last Resort (NF)",2017,"SP",0
"Last Resort","NF","Last Resort (NF)",2018,"HC",0.075
"Last Resort","NF","Last Resort (NF)",2018,"HCB",0.038
"Last Resort","NF","Last Resort (NF)",2018,"NIA",0.225
"Last Resort","NF","Last Resort (NF)",2018,"NL",0.631
"Last Resort","NF","Last Resort (NF)",2018,"NR",0
