year_season,season,year,SITE,site_type,SITE_label,n_surveys,n_observations,n_bleached_obs,prop_bleach_obs,n_surveys_bleached,threshold_survey
2018_Spring,Spring,2018,Shark Bay,SF,Shark Bay (SF),1,38,11,0.2894736842105263,1,TRUE
2019_Spring,Spring,2019,Shark Bay,SF,Shark Bay (SF),1,40,1,0.025,0,FALSE
2021_Spring,Spring,2021,Shark Bay,SF,Shark Bay (SF),2,80,0,0,0,FALSE
2022_Spring,Spring,2022,Shark Bay,SF,Shark Bay (SF),1,40,0,0,0,FALSE
2023_Spring,Spring,2023,Shark Bay,SF,Shark Bay (SF),2,112,0,0,0,FALSE
2024_Autumn,Autumn,2024,Shark Bay,SF,Shark Bay (SF),1,40,16,0.4,1,TRUE
2024_Spring,Spring,2024,Shark Bay,SF,Shark Bay (SF),2,154,2,0.012987012987012988,0,FALSE
2014_Spring,Spring,2014,Coral Cascade,NS,Coral Cascade (NS),1,40,0,0,0,FALSE
2015_Spring,Spring,2015,Coral Cascade,NS,Coral Cascade (NS),1,36,0,0,0,FALSE
2017_Spring,Spring,2017,Coral Cascade,NS,Coral Cascade (NS),1,44,1,0.022727272727272728,0,FALSE
2018_Spring,Spring,2018,Coral Cascade,NS,Coral Cascade (NS),1,36,0,0,0,FALSE
2021_Spring,Spring,2021,Coral Cascade,NS,Coral Cascade (NS),2,150,1,0.006666666666666667,0,FALSE
2022_Spring,Spring,2022,Coral Cascade,NS,Coral Cascade (NS),1,40,0,0,0,FALSE
2023_Spring,Spring,2023,Coral Cascade,NS,Coral Cascade (NS),2,112,1,0.008928571428571428,0,FALSE
2024_Autumn,Autumn,2024,Coral Cascade,NS,Coral Cascade (NS),1,40,14,0.35,1,TRUE
2024_Spring,Spring,2024,Coral Cascade,NS,Coral Cascade (NS),2,80,3,0.0375,0,FALSE
2014_Spring,Spring,2014,Coral Grotto,NS,Coral Grotto (NS),1,38,3,0.07894736842105263,0,FALSE
2015_Spring,Spring,2015,Coral Grotto,NS,Coral Grotto (NS),1,38,1,0.02631578947368421,0,FALSE
2017_Spring,Spring,2017,Coral Grotto,NS,Coral Grotto (NS),2,76,0,0,0,FALSE
2018_Spring,Spring,2018,Coral Grotto,NS,Coral Grotto (NS),1,40,0,0,0,FALSE
2019_Spring,Spring,2019,Coral Grotto,NS,Coral Grotto (NS),1,36,0,0,0,FALSE
2021_Spring,Spring,2021,Coral Grotto,NS,Coral Grotto (NS),1,36,0,0,0,FALSE
2022_Spring,Spring,2022,Coral Grotto,NS,Coral Grotto (NS),1,94,8,0.0851063829787234,0,FALSE
2023_Spring,Spring,2023,Coral Grotto,NS,Coral Grotto (NS),2,68,2,0.029411764705882353,0,FALSE
2024_Autumn,Autumn,2024,Coral Grotto,NS,Coral Grotto (NS),1,36,15,0.4166666666666667,1,TRUE
2024_Spring,Spring,2024,Coral Grotto,NS,Coral Grotto (NS),2,112,7,0.0625,0,FALSE
2013_Spring,Spring,2013,Libby's Lair,NS,Libby's Lair (NS),1,30,1,0.03333333333333333,0,FALSE
2014_Spring,Spring,2014,Libby's Lair,NS,Libby's Lair (NS),1,34,2,0.058823529411764705,0,FALSE
2015_Spring,Spring,2015,Libby's Lair,NS,Libby's Lair (NS),1,32,0,0,0,FALSE
2016_Spring,Spring,2016,Libby's Lair,NS,Libby's Lair (NS),1,36,0,0,0,FALSE
2017_Spring,Spring,2017,Libby's Lair,NS,Libby's Lair (NS),1,46,1,0.021739130434782608,0,FALSE
2018_Spring,Spring,2018,Libby's Lair,NS,Libby's Lair (NS),1,72,0,0,0,FALSE
2019_Spring,Spring,2019,Libby's Lair,NS,Libby's Lair (NS),1,36,2,0.05555555555555555,0,FALSE
2021_Spring,Spring,2021,Libby's Lair,NS,Libby's Lair (NS),1,34,1,0.029411764705882353,0,FALSE
2022_Spring,Spring,2022,Libby's Lair,NS,Libby's Lair (NS),2,102,7,0.06862745098039216,0,FALSE
2023_Spring,Spring,2023,Libby's Lair,NS,Libby's Lair (NS),2,114,4,0.03508771929824561,0,FALSE
2024_Autumn,Autumn,2024,Libby's Lair,NS,Libby's Lair (NS),1,38,14,0.3684210526315789,1,TRUE
2024_Spring,Spring,2024,Libby's Lair,NS,Libby's Lair (NS),1,80,0,0,0,FALSE
2013_Spring,Spring,2013,Canyons,SS,Canyons (SS),1,36,2,0.05555555555555555,0,FALSE
2014_Spring,Spring,2014,Canyons,SS,Canyons (SS),1,38,10,0.2631578947368421,1,TRUE
