"SITE","site_type","SITE_label","year","substrate_group","count"
"Last Resort","NF","Last Resort (NF)",2024,"NL",118
"White Wedding","NF","White Wedding (NF)",2014,"HC",16
"White Wedding","NF","White Wedding (NF)",2014,"NIA",11
"White Wedding","NF","White Wedding (NF)",2014,"NL",130
"White Wedding","NF","White Wedding (NF)",2014,"OT",3
"White Wedding","NF","White Wedding (NF)",2015,"HC",21
"White Wedding","NF","White Wedding (NF)",2015,"HCB",1
"White Wedding","NF","White Wedding (NF)",2015,"NL",136
"White Wedding","NF","White Wedding (NF)",2015,"OT",1
"White Wedding","NF","White Wedding (NF)",2015,"SP",1
"White Wedding","NF","White Wedding (NF)",2016,"HC",11
"White Wedding","NF","White Wedding (NF)",2016,"NIA",4
"White Wedding","NF","White Wedding (NF)",2016,"NL",129
"White Wedding","NF","White Wedding (NF)",2016,"OT",14
"White Wedding","NF","White Wedding (NF)",2016,"RKC",1
"White Wedding","NF","White Wedding (NF)",2016,"SC",1
"White Wedding","NF","White Wedding (NF)",2017,"HC",20
"White Wedding","NF","White Wedding (NF)",2017,"HCB",2
"White Wedding","NF","White Wedding (NF)",2017,"NIA",2
"White Wedding","NF","White Wedding (NF)",2017,"NL",129
"White Wedding","NF","White Wedding (NF)",2017,"OT",7
"White Wedding","NF","White Wedding (NF)",2018,"HC",17
"White Wedding","NF","White Wedding (NF)",2018,"NIA",12
"White Wedding","NF","White Wedding (NF)",2018,"NL",129
"White Wedding","NF","White Wedding (NF)",2018,"OT",1
"White Wedding","NF","White Wedding (NF)",2018,"SC",1
"White Wedding","NF","White Wedding (NF)",2019,"HC",5
"White Wedding","NF","White Wedding (NF)",2019,"HCB",1
"White Wedding","NF","White Wedding (NF)",2019,"NIA",13
"White Wedding","NF","White Wedding (NF)",2019,"NL",134
"White Wedding","NF","White Wedding (NF)",2019,"OT",7
"White Wedding","NF","White Wedding (NF)",2020,"HC",11
"White Wedding","NF","White Wedding (NF)",2020,"NL",146
"White Wedding","NF","White Wedding (NF)",2020,"OT",3
"White Wedding","NF","White Wedding (NF)",2021,"HC",14
"White Wedding","NF","White Wedding (NF)",2021,"NL",131
"White Wedding","NF","White Wedding (NF)",2021,"OT",15
"White Wedding","NF","White Wedding (NF)",2022,"HC",12
"White Wedding","NF","White Wedding (NF)",2022,"NIA",1
"White Wedding","NF","White Wedding (NF)",2022,"NL",120
"White Wedding","NF","White Wedding (NF)",2022,"OT",26
"White Wedding","NF","White Wedding (NF)",2022,"SC",1
"White Wedding","NF","White Wedding (NF)",2023,"HC",19
"White Wedding","NF","White Wedding (NF)",2023,"NIA",4
"White Wedding","NF","White Wedding (NF)",2023,"NL",131
"White Wedding","NF","White Wedding (NF)",2023,"OT",6
"White Wedding","NF","White Wedding (NF)",2024,"HC",10
"White Wedding","NF","White Wedding (NF)",2024,"HCB",2
"White Wedding","NF","White Wedding (NF)",2024,"NIA",18
"White Wedding","NF","White Wedding (NF)",2024,"NL",128
"White Wedding","NF","White Wedding (NF)",2024,"OT",2
"Jetty Flat","SF","Jetty Flat (SF)",2013,"HC",56
"Jetty Flat","SF","Jetty Flat (SF)",2013,"NIA",4
"Jetty Flat","SF","Jetty Flat (SF)",2013,"NL",97
"Jetty Flat","SF","Jetty Flat (SF)",2013,"OT",1
"Jetty Flat","SF","Jetty Flat (SF)",2013,"SC",2
"Jetty Flat","SF","Jetty Flat (SF)",2014,"HC",50
"Jetty Flat","SF","Jetty Flat (SF)",2014,"HCB",2
"Jetty Flat","SF","Jetty Flat (SF)",2014,"NIA",6
"Jetty Flat","SF","Jetty Flat (SF)",2014,"NL",100
"Jetty Flat","SF","Jetty Flat (SF)",2014,"SC",2
"Jetty Flat","SF","Jetty Flat (SF)",2015,"HC",56
"Jetty Flat","SF","Jetty Flat (SF)",2015,"HCB",1
"Jetty Flat","SF","Jetty Flat (SF)",2015,"NIA",1
"Jetty Flat","SF","Jetty Flat (SF)",2015,"NL",100
"Jetty Flat","SF","Jetty Flat (SF)",2015,"SC",2
"Jetty Flat","SF","Jetty Flat (SF)",2016,"HC",70
"Jetty Flat","SF","Jetty Flat (SF)",2016,"HCB",5
"Jetty Flat","SF","Jetty Flat (SF)",2016,"NIA",2
"Jetty Flat","SF","Jetty Flat (SF)",2016,"NL",77
"Jetty Flat","SF","Jetty Flat (SF)",2016,"OT",3
"Jetty Flat","SF","Jetty Flat (SF)",2016,"RKC",3
"Jetty Flat","SF","Jetty Flat (SF)",2017,"HC",50
"Jetty Flat","SF","Jetty Flat (SF)",2017,"NL",110
"Jetty Flat","SF","Jetty Flat (SF)",2018,"HC",47
"Jetty Flat","SF","Jetty Flat (SF)",2018,"HCB",2
"Jetty Flat","SF","Jetty Flat (SF)",2018,"NIA",1
"Jetty Flat","SF","Jetty Flat (SF)",2018,"NL",109
"Jetty Flat","SF","Jetty Flat (SF)",2018,"RKC",1
"Jetty Flat","SF","Jetty Flat (SF)",2019,"HC",38
"Jetty Flat","SF","Jetty Flat (SF)",2019,"NL",122
"Jetty Flat","SF","Jetty Flat (SF)",2020,"HC",49
"Jetty Flat","SF","Jetty Flat (SF)",2020,"HCB",1
"Jetty Flat","SF","Jetty Flat (SF)",2020,"NL",95
"Jetty Flat","SF","Jetty Flat (SF)",2020,"RKC",15
"Jetty Flat","SF","Jetty Flat (SF)",2021,"HC",57
"Jetty Flat","SF","Jetty Flat (SF)",2021,"NL",102
"Jetty Flat","SF","Jetty Flat (SF)",2021,"SC",1
"Jetty Flat","SF","Jetty Flat (SF)",2022,"HC",46
"Jetty Flat","SF","Jetty Flat (SF)",2022,"NL",113
"Jetty Flat","SF","Jetty Flat (SF)",2022,"SC",1
"Jetty Flat","SF","Jetty Flat (SF)",2023,"HC",69
"Jetty Flat","SF","Jetty Flat (SF)",2023,"NL",91
"Jetty Flat","SF","Jetty Flat (SF)",2024,"HC",39
"Jetty Flat","SF","Jetty Flat (SF)",2024,"NL",111
"Jetty Flat","SF","Jetty Flat (SF)",2024,"SC",10
"Research Zone","SF","Research Zone (SF)",2013,"HC",9
"Research Zone","SF","Research Zone (SF)",2013,"NIA",9
"Research Zone","SF","Research Zone (SF)",2013,"NL",142
"Research Zone","SF","Research Zone (SF)",2014,"HC",14
"Research Zone","SF","Research Zone (SF)",2014,"NIA",19
"Research Zone","SF","Research Zone (SF)",2014,"NL",127
"Research Zone","SF","Research Zone (SF)",2015,"HC",15
"Research Zone","SF","Research Zone (SF)",2015,"NL",144
"Research Zone","SF","Research Zone (SF)",2015,"SC",1
"Research Zone","SF","Research Zone (SF)",2016,"HC",11
"Research Zone","SF","Research Zone (SF)",2016,"NIA",6
"Research Zone","SF","Research Zone (SF)",2016,"NL",143
"Research Zone","SF","Research Zone (SF)",2017,"HC",14
"Research Zone","SF","Research Zone (SF)",2017,"NL",145
"Research Zone","SF","Research Zone (SF)",2017,"SC",1
"Research Zone","SF","Research Zone (SF)",2018,"HC",11
"Research Zone","SF","Research Zone (SF)",2018,"NIA",3
"Research Zone","SF","Research Zone (SF)",2018,"NL",145
"Research Zone","SF","Research Zone (SF)",2018,"SC",1
"Research Zone","SF","Research Zone (SF)",2019,"HC",31
"Research Zone","SF","Research Zone (SF)",2019,"HCB",1
"Research Zone","SF","Research Zone (SF)",2019,"NIA",11
"Research Zone","SF","Research Zone (SF)",2019,"NL",113
"Research Zone","SF","Research Zone (SF)",2019,"OT",2
"Research Zone","SF","Research Zone (SF)",2019,"RKC",1
"Research Zone","SF","Research Zone (SF)",2019,"SC",1
"Research Zone","SF","Research Zone (SF)",2020,"HC",14
"Research Zone","SF","Research Zone (SF)",2020,"NIA",2
"Research Zone","SF","Research Zone (SF)",2020,"NL",144
"Research Zone","SF","Research Zone (SF)",2021,"HC",12
"Research Zone","SF","Research Zone (SF)",2021,"NIA",3
"Research Zone","SF","Research Zone (SF)",2021,"NL",140
"Research Zone","SF","Research Zone (SF)",2021,"OT",5
"Research Zone","SF","Research Zone (SF)",2022,"HC",17
"Research Zone","SF","Research Zone (SF)",2022,"NIA",6
"Research Zone","SF","Research Zone (SF)",2022,"NL",136
"Research Zone","SF","Research Zone (SF)",2022,"SP",1
"Research Zone","SF","Research Zone (SF)",2023,"HC",16
"Research Zone","SF","Research Zone (SF)",2023,"NIA",10
"Research Zone","SF","Research Zone (SF)",2023,"NL",134
"Research Zone","SF","Research Zone (SF)",2024,"HC",21
"Research Zone","SF","Research Zone (SF)",2024,"HCB",1
"Research Zone","SF","Research Zone (SF)",2024,"NIA",5
"Research Zone","SF","Research Zone (SF)",2024,"NL",130
"Research Zone","SF","Research Zone (SF)",2024,"RKC",3
"Shark Bay","SF","Shark Bay (SF)",2013,"HC",22
"Shark Bay","SF","Shark Bay (SF)",2013,"HCB",6
"Shark Bay","SF","Shark Bay (SF)",2013,"NIA",17
"Shark Bay","SF","Shark Bay (SF)",2013,"NL",81
"Shark Bay","SF","Shark Bay (SF)",2013,"RKC",33
"Shark Bay","SF","Shark Bay (SF)",2013,"SC",1
"Shark Bay","SF","Shark Bay (SF)",2014,"HC",10
"Shark Bay","SF","Shark Bay (SF)",2014,"NIA",22
"Shark Bay","SF","Shark Bay (SF)",2014,"NL",124
"Shark Bay","SF","Shark Bay (SF)",2014,"OT",4
"Shark Bay","SF","Shark Bay (SF)",2015,"HC",14
"Shark Bay","SF","Shark Bay (SF)",2015,"NIA",35
"Shark Bay","SF","Shark Bay (SF)",2015,"NL",109
"Shark Bay","SF","Shark Bay (SF)",2015,"RKC",1
