survey_id,SITE,site_type,SITE_label,DATE,year,observations,n_bleach,prop_bleach,bleached
Half Way_2017-11-01,Half Way,SS,Half Way (SS),2017-11-01,2017,32,0,0,FALSE
Half Way_2018-11-13,Half Way,SS,Half Way (SS),2018-11-13,2018,28,0,0,FALSE
Half Way_2019-10-25,Half Way,SS,Half Way (SS),2019-10-25,2019,72,1,0.013888888888888888,FALSE
Half Way_2021-11-10,Half Way,SS,Half Way (SS),2021-11-10,2021,38,0,0,FALSE
Half Way_2022-11-06,Half Way,SS,Half Way (SS),2022-11-06,2022,38,0,0,FALSE
Half Way_2022-11-08,Half Way,SS,Half Way (SS),2022-11-08,2022,40,0,0,FALSE
Half Way_2023-10-02,Half Way,SS,Half Way (SS),2023-10-02,2023,34,1,0.029411764705882353,FALSE
Half Way_2023-10-30,Half Way,SS,Half Way (SS),2023-10-30,2023,36,0,0,FALSE
Half Way_2024-10-26,Half Way,SS,Half Way (SS),2024-10-26,2024,100,6,0.06,FALSE
Half Way_2024-11-01,Half Way,SS,Half Way (SS),2024-11-01,2024,32,0,0,FALSE
Harry's Bommie_2014-11-07,Harry's Bommie,SS,Harry's Bommie (SS),2014-11-07,2014,30,0,0,FALSE
Harry's Bommie_2015-11-23,Harry's Bommie,SS,Harry's Bommie (SS),2015-11-23,2015,34,3,0.08823529411764706,FALSE
Harry's Bommie_2016-09-17,Harry's Bommie,SS,Harry's Bommie (SS),2016-09-17,2016,40,0,0,FALSE
Harry's Bommie_2017-10-28,Harry's Bommie,SS,Harry's Bommie (SS),2017-10-28,2017,38,0,0,FALSE
Harry's Bommie_2018-11-13,Harry's Bommie,SS,Harry's Bommie (SS),2018-11-13,2018,36,3,0.08333333333333333,FALSE
Harry's Bommie_2019-10-25,Harry's Bommie,SS,Harry's Bommie (SS),2019-10-25,2019,40,1,0.025,FALSE
Harry's Bommie_2021-11-05,Harry's Bommie,SS,Harry's Bommie (SS),2021-11-05,2021,34,0,0,FALSE
Harry's Bommie_2022-11-06,Harry's Bommie,SS,Harry's Bommie (SS),2022-11-06,2022,60,0,0,FALSE
Harry's Bommie_2023-09-30,Harry's Bommie,SS,Harry's Bommie (SS),2023-09-30,2023,34,0,0,FALSE
Harry's Bommie_2023-10-30,Harry's Bommie,SS,Harry's Bommie (SS),2023-10-30,2023,78,1,0.01282051282051282,FALSE
Harry's Bommie_2024-10-25,Harry's Bommie,SS,Harry's Bommie (SS),2024-10-25,2024,106,6,0.05660377358490566,FALSE
Harry's Bommie_2024-11-01,Harry's Bommie,SS,Harry's Bommie (SS),2024-11-01,2024,72,0,0,FALSE
Harry's Bommie_2024-11-03,Harry's Bommie,SS,Harry's Bommie (SS),2024-11-03,2024,38,2,0.05263157894736842,FALSE
Heron Bommie_2014-11-10,Heron Bommie,SS,Heron Bommie (SS),2014-11-10,2014,34,1,0.029411764705882353,FALSE
Heron Bommie_2016-09-19,Heron Bommie,SS,Heron Bommie (SS),2016-09-19,2016,38,0,0,FALSE
Heron Bommie_2017-11-02,Heron Bommie,SS,Heron Bommie (SS),2017-11-02,2017,36,1,0.027777777777777776,FALSE
Heron Bommie_2018-11-12,Heron Bommie,SS,Heron Bommie (SS),2018-11-12,2018,30,5,0.16666666666666666,FALSE
Heron Bommie_2019-10-29,Heron Bommie,SS,Heron Bommie (SS),2019-10-29,2019,36,0,0,FALSE
Heron Bommie_2022-11-05,Heron Bommie,SS,Heron Bommie (SS),2022-11-05,2022,64,1,0.015625,FALSE
Heron Bommie_2022-11-06,Heron Bommie,SS,Heron Bommie (SS),2022-11-06,2022,42,4,0.09523809523809523,FALSE
Heron Bommie_2023-10-03,Heron Bommie,SS,Heron Bommie (SS),2023-10-03,2023,30,1,0.03333333333333333,FALSE
Heron Bommie_2023-10-31,Heron Bommie,SS,Heron Bommie (SS),2023-10-31,2023,36,1,0.027777777777777776,FALSE
Heron Bommie_2024-10-28,Heron Bommie,SS,Heron Bommie (SS),2024-10-28,2024,36,7,0.19444444444444445,FALSE
Heron Bommie_2024-11-05,Heron Bommie,SS,Heron Bommie (SS),2024-11-05,2024,78,0,0,FALSE
Jetty Flat_2014-11-10,Jetty Flat,SF,Jetty Flat (SF),2014-11-10,2014,70,4,0.05714285714285714,FALSE
Jetty Flat_2015-11-26,Jetty Flat,SF,Jetty Flat (SF),2015-11-26,2015,40,3,0.075,FALSE
Jetty Flat_2016-09-20,Jetty Flat,SF,Jetty Flat (SF),2016-09-20,2016,38,6,0.15789473684210525,FALSE
Jetty Flat_2017-11-30,Jetty Flat,SF,Jetty Flat (SF),2017-11-30,2017,40,8,0.2,TRUE
Jetty Flat_2021-11-06,Jetty Flat,SF,Jetty Flat (SF),2021-11-06,2021,30,1,0.03333333333333333,FALSE
Jetty Flat_2022-11-28,Jetty Flat,SF,Jetty Flat (SF),2022-11-28,2022,34,0,0,FALSE
Jetty Flat_2023-09-29,Jetty Flat,SF,Jetty Flat (SF),2023-09-29,2023,36,0,0,FALSE
Jetty Flat_2024-10-25,Jetty Flat,SF,Jetty Flat (SF),2024-10-25,2024,110,2,0.01818181818181818,FALSE
Last Resort_2014-11-09,Last Resort,NF,Last Resort (NF),2014-11-09,2014,80,5,0.0625,FALSE
Last Resort_2016-09-20,Last Resort,NF,Last Resort (NF),2016-09-20,2016,24,1,0.041666666666666664,FALSE
Last Resort_2023-10-03,Last Resort,NF,Last Resort (NF),2023-10-03,2023,80,0,0,FALSE
Last Resort_2024-10-29,Last Resort,NF,Last Resort (NF),2024-10-29,2024,40,0,0,FALSE
