SITE,SITE_label,site_type,year,n_bleached_obs,n_observations,prop_bleach_obs
Research Zone,Research Zone (SF),SF,2019,2,82,0.024390243902439025
Research Zone,Research Zone (SF),SF,2020,58,734,0.07901907356948229
Research Zone,Research Zone (SF),SF,2021,15,844,0.017772511848341232
Research Zone,Research Zone (SF),SF,2022,19,218,0.0871559633027523
Research Zone,Research Zone (SF),SF,2023,58,904,0.06415929203539823
Research Zone,Research Zone (SF),SF,2024,6,366,0.01639344262295082
Shark Bay,Shark Bay (SF),SF,2014,7,102,0.06862745098039216
Shark Bay,Shark Bay (SF),SF,2016,0,40,0
Shark Bay,Shark Bay (SF),SF,2018,11,38,0.2894736842105263
Shark Bay,Shark Bay (SF),SF,2019,1,40,0.025
Shark Bay,Shark Bay (SF),SF,2021,0,80,0
Shark Bay,Shark Bay (SF),SF,2022,0,40,0
Shark Bay,Shark Bay (SF),SF,2023,0,112,0
Shark Bay,Shark Bay (SF),SF,2024,18,194,0.09278350515463918
White Wedding,White Wedding (NF),NF,2014,2,40,0.05
White Wedding,White Wedding (NF),NF,2015,5,38,0.13157894736842105
White Wedding,White Wedding (NF),NF,2016,2,78,0.02564102564102564
White Wedding,White Wedding (NF),NF,2017,3,40,0.075
White Wedding,White Wedding (NF),NF,2018,0,40,0
White Wedding,White Wedding (NF),NF,2019,1,38,0.02631578947368421
White Wedding,White Wedding (NF),NF,2020,2,38,0.05263157894736842
White Wedding,White Wedding (NF),NF,2022,2,40,0.05
White Wedding,White Wedding (NF),NF,2023,0,76,0
White Wedding,White Wedding (NF),NF,2024,0,40,0
